,municipios_ibge
1805,2805505
1806,2805604
1807,2805703
1808,2805802
1809,2805901
1810,2806008
1811,2806107
1812,2806206
1813,2806305
1814,2806404
1815,2806503
1816,2806602
1817,2806701
1818,2806800
1819,2806909
1820,2807006
1821,2807105
1822,2807204
1823,2807303
1824,2807402
1825,2807501
1826,2807600
1827,2900108
1828,2900207
1829,2900306
1830,2900355
1831,2900405
1832,2900504
1833,2900603
1834,2900702
1835,2900801
1836,2900900
1837,2901007
1838,2901106
1839,2901155
1840,2901205
1841,2901304
1842,2901353
1843,2901403
1844,2901502
1845,2901601
1846,2901700
1847,2901809
1848,2901908
1849,2901957
1850,2902005
1851,2902054
1852,2902104
1853,2902203
1854,2902252
1855,2902302
1856,2902401
1857,2902500
1858,2902609
1859,2902658
1860,2902708
1861,2902807
1862,2902906
1863,2903003
1864,2903102
1865,2903201
1866,2903235
1867,2903276
1868,2903300
1869,2903409
1870,2903508
1871,2903607
1872,2903706
1873,2903805
1874,2903904
1875,2903953
1876,2904001
1877,2904050
1878,2904100
1879,2904209
1880,2904308
1881,2904407
1882,2904506
1883,2904605
1884,2904704
1885,2904753
1886,2904803
1887,2904852
1888,2904902
1889,2905008
1890,2905107
1891,2905156
1892,2905206
1893,2905305
1894,2905404
1895,2905503
1896,2905602
1897,2905701
1898,2905800
1899,2905909
1900,2906006
1901,2906105
1902,2906204
1903,2906303
1904,2906402
1905,2906501
1906,2906600
1907,2906709
1908,2906808
1909,2906824
1910,2906857
1911,2906873
1912,2906899
1913,2906907
1914,2907004
1915,2907103
1916,2907202
1917,2907301
1918,2907400
1919,2907509
1920,2907558
1921,2907608
1922,2907707
1923,2907806
1924,2907905
1925,2908002
1926,2908101
1927,2908200
1928,2908309
1929,2908408
1930,2908507
1931,2908606
1932,2908705
1933,2908804
1934,2908903
1935,2909000
1936,2909109
1937,2909208
1938,2909307
1939,2909406
1940,2909505
1941,2909604
1942,2909703
1943,2909802
1944,2909901
1945,2910008
1946,2910057
1947,2910107
1948,2910206
1949,2910305
1950,2910404
1951,2910503
1952,2910602
1953,2910701
1954,2910727
1955,2910750
1956,2910776
1957,2910800
1958,2910859
1959,2910909
1960,2911006
1961,2911105
1962,2911204
1963,2911253
1964,2911303
1965,2911402
1966,2911501
1967,2911600
1968,2911659
1969,2911709
1970,2911808
1971,2911857
1972,2911907
1973,2912004
1974,2912103
1975,2912202
1976,2912301
1977,2912400
1978,2912509
1979,2912608
1980,2912707
1981,2912806
1982,2912905
1983,2913002
1984,2913101
1985,2913200
1986,2913309
1987,2913408
1988,2913457
1989,2913507
1990,2913606
1991,2913705
1992,2913804
1993,2913903
1994,2914000
1995,2914109
1996,2914208
1997,2914307
1998,2914406
1999,2914505
2000,2914604
2001,2914653
2002,2914703
2003,2914802
2004,2914901
2005,2915007
2006,2915106
2007,2915205
2008,2915304
2009,2915353
2010,2915403
2011,2915502
2012,2915601
2013,2915700
2014,2915809
2015,2915908
2016,2916005
2017,2916104
2018,2916203
2019,2916302
2020,2916401
2021,2916500
2022,2916609
2023,2916708
2024,2916807
2025,2916856
2026,2916906
2027,2917003
2028,2917102
2029,2917201
2030,2917300
2031,2917334
2032,2917359
